,index,title,score
791,0,Godzilla: King of the Monsters,48
792,0,Allied,60
793,0,Sully,74
794,0,Collateral Beauty,23
795,0,Ferdinand,58
796,0,Bad Moms,60
797,0,Sherlock Gnomes,36
798,0,Hidden Figures,74
799,0,The Emoji Movie,12
800,0,Boo! A Madea Halloween,30
801,0,"I, Tonya",77
802,0,A Dog's Purpose,43
803,0,Deadpool 2,66
804,0,Peter Rabbit,51
805,0,Office Christmas Party,42
806,0,Patriots Day,69
807,0,A Quiet Place,82
808,0,Annabelle: Creation,62
809,0,Fast & Furious Presents: Hobbs & Shaw,60
810,0,Logan Lucky,78
811,0,Rough Night,51
812,0,The Meg,46
813,0,The Glass Castle,56
814,0,Molly's Game,71
815,0,The Shape of Water,87
816,0,Alita: Battle Angel,53
817,0,Phantom Thread,90
818,0,The Commuter,56
819,0,Lady Bird,94
820,0,Daddy's Home 2,30
821,0,Ralph Breaks the Internet,71
822,0,Red Sparrow,53
823,0,Darkest Hour,75
824,0,All Eyez on Me,38
825,0,47 Meters Down,52
826,0,The Hitman's Bodyguard,47
827,0,Insidious: The Last Key,49
828,0,Hotel Transylvania 3: Summer Vacation,54
829,0,Mary Poppins Returns,66
830,0,Sicario: Day of the Soldado,61
831,0,Girls Trip,71
832,0,Captive State,54
833,0,The Big Sick,86
834,0,American Assassin,45
835,0,Spider-Man: Far from Home,69
836,0,Wonder Park,45
837,0,Winchester,28
838,0,Bumblebee,66
839,0,The Nutcracker and the Four Realms,39
840,0,The Secret Life of Pets 2,55
841,0,Bohemian Rhapsody,49
842,0,Escape Room,48
843,0,A Bad Moms Christmas,42
844,0,The Theory of Everything,72
845,0,Fighting with My Family,68
846,0,Blockers,69
847,0,Slender Man,30
848,0,Game Night,66
849,0,12 Strong,54
850,0,Den of Thieves,49
851,0,The First Purge,54
852,0,White Boy Rick,59
853,0,Tag,56
854,0,All the Money in the World,72
855,0,Happy Death Day,58
856,0,"Love, Simon",72
857,0,Mamma Mia! Here We Go Again,60
858,0,The Spy Who Dumped Me,52
859,0,Crazy Rich Asians,74
860,0,Gemini Man,38
861,0,Goosebumps 2: Haunted Halloween,53
862,0,The Nun,46
863,0,What Men Want,49
864,0,Upside Down,45
865,0,Creed II,66
866,0,The Hate U Give,81
867,0,Second Act,46
868,0,Uncle Drew,57
869,0,A Simple Favor,67
870,0,I Feel Pretty,48
871,0,Cold Pursuit,57
872,0,Instant Family,57
873,0,John Wick: Chapter 3 - Parabellum,73
874,0,Booksmart,84
875,0,BlacKkKlansman,83
876,0,Stuber,42
877,0,Green Book,69
878,0,Hereditary,87
879,0,The Angry Birds Movie 2,60
880,0,Happy Death Day 2U,57
881,0,Brightburn,44
882,0,Midsommar,72
883,0,Good Boys,60
884,0,Downton Abbey,64
885,0,The Post,83
886,0,Rambo: Last Blood,26
887,0,A Dog's Way Home,50
888,0,The Little Prince,70
