0,Terminator Salvation,/movie/terminator-salvation
0,The Incredible Hulk,/movie/the-incredible-hulk
0,Captain America: The First Avenger,/movie/captain-america-the-first-avenger
0,The Mummy: Tomb of the Dragon Emperor,/movie/the-mummy-tomb-of-the-dragon-emperor
0,The Forbidden Kingdom,/movie/the-forbidden-kingdom
0,The Dark Knight,/movie/the-dark-knight
0,Pirates of the Caribbean: On Stranger Tides,/movie/pirates-of-the-caribbean-on-stranger-tides
0,Indiana Jones and the Kingdom of the Crystal Skull,/movie/indiana-jones-and-the-kingdom-of-the-crystal-skull
0,Harry Potter and the Half-Blood Prince,/movie/harry-potter-and-the-half-blood-prince
0,X-Men Origins: Wolverine,/movie/x-men-origins-wolverine
0,Valkyrie,/movie/valkyrie
0,The Chronicles of Narnia: Prince Caspian,/movie/the-chronicles-of-narnia-prince-caspian
0,The Karate Kid,/movie/the-karate-kid-1984
0,Sex and the City,/movie/sex-and-the-city
0,The Curious Case of Benjamin Button,/movie/the-curious-case-of-benjamin-button
0,Changeling,/movie/changeling
0,Iron Man,/movie/iron-man
0,The Proposal,/movie/the-proposal
0,Scary Movie 5,/movie/scary-movie-5
0,The Amazing Spider-Man 2,/movie/the-amazing-spider-man-2
0,Leatherheads,/movie/leatherheads
0,27 Dresses,/movie/27-dresses
0,My Sister's Keeper,/movie/my-sisters-keeper
0,Australia,/movie/australia
0,Meet the Spartans,/movie/meet-the-spartans
0,Burn After Reading,/movie/burn-after-reading
0,Oh Lucy!,/movie/oh-lucy!
0,Only Yesterday (1991),/movie/only-yesterday
0,Speed Racer,/movie/speed-racer
0,The Lovely Bones,/movie/the-lovely-bones
0,Tropic Thunder,/movie/tropic-thunder
0,Untraceable,/movie/untraceable
0,The Spiderwick Chronicles,/movie/the-spiderwick-chronicles
0,10 Cloverfield Lane,/movie/10-cloverfield-lane
0,Vantage Point,/movie/vantage-point
0,Ice Age: Dawn of the Dinosaurs,/movie/ice-age-dawn-of-the-dinosaurs
0,Transformers: Revenge of the Fallen,/movie/transformers-revenge-of-the-fallen
0,The Brothers Grimsby,/movie/grimsby
0,Jumper,/movie/jumper
0,Baby Mama,/movie/baby-mama
0,The Reader,/movie/the-reader
0,211,/movie/211
0,Hancock,/movie/hancock
0,The Bank Job,/movie/bankjob
0,Fool's Gold,/movie/fools-gold
